,lai_q05,lai_q50,lai_q95,ccc_q05,ccc_q50,ccc_q95,sensing_date,agdd,farm,parcel,variety,cab_q50
52,3.442059659957886,4.282123804092407,4.831856822967529,1.4688722968101502,1.966386079788208,2.2685036659240723,2022-06-20,1784,SwissFutureFarm,Altkloster,Montalbano,45.92081335688943
53,2.4313192248344424,3.3500967025756836,4.165263843536377,1.0044676452875139,1.4264469146728516,1.8899924755096436,2022-06-23,1845,SwissFutureFarm,Altkloster,Montalbano,42.57927580347589
54,1.7738315343856812,2.5622620582580566,3.2963228583335873,0.7453991323709489,1.1188073754310608,1.462460559606552,2022-06-25,1880,SwissFutureFarm,Altkloster,Montalbano,43.66483013808812
55,1.1691830039024353,1.4276015162467957,1.7994107663631425,0.44885564744472506,0.5699992775917053,0.7577358216047284,2022-07-03,2032,SwissFutureFarm,Altkloster,Montalbano,39.927057452996365
56,1.0125041007995605,1.1045185923576355,1.4251168131828293,0.3872324049472809,0.4198751747608185,0.5617627739906308,2022-07-08,2125,SwissFutureFarm,Altkloster,Montalbano,38.01431480339136
57,1.0573596119880677,1.138026475906372,1.3841031849384302,0.40235705971717833,0.4321673810482025,0.5453970134258269,2022-07-13,2218,SwissFutureFarm,Altkloster,Montalbano,37.9751605255059
58,1.0232238531112672,1.0688279867172241,1.3435518980026244,0.38573289960622786,0.4032557010650635,0.5237118184566498,2022-07-15,2266,SwissFutureFarm,Altkloster,Montalbano,37.72877451530948
59,1.0273955166339874,1.0677730441093445,1.3105727851390832,0.388997919857502,0.4032557010650635,0.5074020624160764,2022-07-18,2327,SwissFutureFarm,Altkloster,Montalbano,37.76604993820844
60,0.17565567195415496,0.2804727554321289,0.48643587231636043,0.0033191702328622345,0.04084920883178711,0.15262441039085387,2022-03-05,477,SwissFutureFarm,Ruetteli,Montalbano,14.564412421752007
61,0.14095892012119293,0.2391432225704193,0.39687594771385193,0.0001680614775978029,0.022031711414456367,0.13028694093227386,2022-03-10,480,SwissFutureFarm,Ruetteli,Montalbano,9.212768473072156
62,0.3138768970966339,0.37325432896614075,0.49265187978744507,0.056275375187397,0.0975460633635521,0.16150173544883728,2022-03-20,547,SwissFutureFarm,Ruetteli,Montalbano,26.133940263664257
63,0.3380963623523712,0.39005550742149353,0.5275827050209045,0.06134603619575501,0.12038267403841019,0.18272702395915985,2022-03-22,558,SwissFutureFarm,Ruetteli,Montalbano,30.8629596936635
64,0.39448264241218567,0.4859550893306732,0.6298725247383118,0.08066695928573608,0.15381912887096405,0.24059320986270905,2022-03-25,581,SwissFutureFarm,Ruetteli,Montalbano,31.652951527439647
65,0.40448787808418274,0.5216572284698486,0.6605907678604126,0.11027820259332657,0.17689982056617737,0.2390530556440353,2022-03-27,599,SwissFutureFarm,Ruetteli,Montalbano,33.91112226798215
66,0.7047748684883117,0.7536473274230957,0.805274486541748,0.17794271782040597,0.18525974452495575,0.19911848083138467,2022-04-04,641,SwissFutureFarm,Ruetteli,Montalbano,24.581755654651367
67,0.6934924125671387,0.8392006754875183,1.1383469104766846,0.2428700566291809,0.3329157531261444,0.4341990053653717,2022-04-06,659,SwissFutureFarm,Ruetteli,Montalbano,39.67057735418803
68,0.9146534681320191,1.2262200117111206,1.3494248151779173,0.36145407557487486,0.5250856876373291,0.6177843809127808,2022-04-14,736,SwissFutureFarm,Ruetteli,Montalbano,42.82149064788151
69,1.1292349100112915,1.4506443738937378,1.608542561531067,0.4218173921108246,0.6402443647384644,0.7890359163284302,2022-04-19,782,SwissFutureFarm,Ruetteli,Montalbano,44.13517029125178
70,1.2254882335662842,1.5992650985717773,1.7454758882522583,0.409258097410202,0.5960036516189575,0.7683851718902588,2022-04-21,799,SwissFutureFarm,Ruetteli,Montalbano,37.26734561713491
71,1.2662426233291626,1.5334351062774658,2.7180152893066407,0.5689624607563019,0.7341475486755371,1.2589269876480103,2022-05-01,895,SwissFutureFarm,Ruetteli,Montalbano,47.876010251111175
72,2.5702795505523683,3.97536039352417,4.57550573348999,1.095412015914917,2.062865734100342,2.5295905113220214,2022-05-11,1027,SwissFutureFarm,Ruetteli,Montalbano,51.89128858507354
73,2.5669655323028566,4.142069339752197,4.677677631378174,1.1135738372802735,2.251249313354492,2.639183521270752,2022-05-14,1082,SwissFutureFarm,Ruetteli,Montalbano,54.35083598791649
74,2.705626428127289,4.157497406005859,4.731313896179199,1.1602455019950866,2.1716067790985107,2.5947511315345766,2022-05-16,1118,SwissFutureFarm,Ruetteli,Montalbano,52.23350893644431
75,2.798378658294678,4.132593154907227,4.629766631126404,1.259341734647751,2.2034608125686646,2.581976532936096,2022-05-19,1175,SwissFutureFarm,Ruetteli,Montalbano,53.31908392560193
76,2.709842252731323,4.121903896331787,4.666146659851074,1.2190934419631958,2.247260332107544,2.608395290374756,2022-05-26,1296,SwissFutureFarm,Ruetteli,Montalbano,54.519959432034604
77,3.3263573169708254,5.100375652313232,5.627328395843506,1.4821658611297608,2.6720998287200928,2.9925344467163084,2022-06-13,1583,SwissFutureFarm,Ruetteli,Montalbano,52.3902553630179
78,4.023698568344116,5.583667755126953,5.902193069458008,1.8274543523788451,2.920325517654419,3.142793655395508,2022-06-15,1622,SwissFutureFarm,Ruetteli,Montalbano,52.301204973611846
79,2.6563367366790773,4.451704502105713,5.066065502166748,1.1583191633224488,2.236976146697998,2.655072498321533,2022-06-18,1689,SwissFutureFarm,Ruetteli,Montalbano,50.249879470658485
80,3.9212561130523684,5.001516342163086,5.325292587280273,1.7609648704528809,2.3879647254943848,2.6179747581481934,2022-06-20,1739,SwissFutureFarm,Ruetteli,Montalbano,47.7448150146726
